1;Cnpj;18;1;18
2;IE;15;19;33
3;RazaoSocial;50;34;83
4;Endereco;50;84;133
5;CEP;9;134;142
6;Bairro;30;143;172
7;Municipio;30;173;202
8;UF;2;203;204
9;Responsavel;30;205;234
10;Cargo;20;235;254
11;Telefone;12;255;266
12;e-mail;40;267;306
13;QtdeRegMestre;7;307;313
14;QtdeNFcanceladas;7;314;320
15;DataEmissaoPriDoc;8;321;328
16;DataEmissaoUltDoc;8;329;336
17;NumeroPriDoc;9;337;345
18;NumeroUltDoc;9;346;354
19;ValorTotal;14;355;368
20;BCIcms;14;369;382
21;ICMS;14;383;396
22;OpIsentas;14;397;410
23;ValoresNaoBC;14;411;424
24;NomeArqMestre;15;425;439
25;StatusRetificacao;1;440;440
26;CodAutenticacao;32;441;472
27;QtdeRegItem;9;473;481
28;QtdeItensCancelados;7;482;488
29;DataEmissaoPriDocItens;8;489;496
30;DataEmissaoUltDocItens;8;497;504
31;NumeroPriDocItens;9;505;513
32;NumeroUltDocItens;9;514;522
33;Total;14;523;536
34;Descontos;14;537;550
35;Acrescimos;14;551;564
36;BCIcmsTotal;14;565;578
37;ICMSTotal;14;579;592
38;OpIsentasTotal;14;593;606
39;ValoresNaoBCTotal;14;607;620
40;NomeArqItem;15;621;635
41;StatusRetificacaoItem;1;636;636
42;CodAutenticacaoItem;32;637;668
43;QtdeCadastroDest;7;669;675
44;NomeArqCadastro;15;676;690
45;StatusRetificacaoCadastro;1;691;691
46;CodAutenticacaoCadastro;32;692;723
47;VersaoValidador;3;724;726
48;ChaveReciboEntrega;6;727;732
49;QtdeAdvertencias;9;733;741
50;Brancos;24;742;765
51;CodAutenticacaoRegistro;32;766;797
