Codigo;Municipio;Indice
1508;ADAMANTINA;0,097509455
1510;ADOLFO;0,002999743
1521;AGUAI;0,0414495
1545;AGUAS DA PRATA;0,012747299
1533;AGUAS DE LINDOIA;0,043910752
6075;AGUAS DE SANTA BARBARA;0,01385761
1557;AGUAS DE SÃO PEDRO;0,016731497
1569;AGUDOS;0,065716935
7328;ALAMBARI;0,006842818
1570;ALFREDO MARCONDES;0,006761135
1582;ALTAIR;0,004464087
1594;ALTINOPOLIS;0,001615876
1600;ALTO ALEGRE;0,005419721
7330;ALUMINIO;0,037763386
1612;ALVARES FLORENCE;0,006184754
1624;ALVARES MACHADO;0,040567184
1636;ALVARO DE CARVALHO;0,004992549
1648;ALVINLANDIA;0,004572502
1650;AMERICANA;0,370002967
1661;AMERICO BRASILIENSE;0,069186563
1673;AMERICO DE CAMPOS;0,007667652
1685;AMPARO;0,186635402
1697;ANALANDIA;0,009218099
1703;ANDRADINA;0,12612115
1715;ANGATUBA;0,036525489
1727;ANHEMBI;0,006937296
1739;ANHUMAS;0,005146316
1740;APARECIDA;0,066694737
1752;APARECIDA D'OESTE;0,00668544
1764;APIAI;0,019295059
7341;ARACARIGUAMA;0,050613678
1776;ARACATUBA;0,417567114
1788;ARACOIABA DA SERRA;0,063087367
1790;ARAMINA;0,000272716
1806;ARANDU;0,007891877
7353;ARAPEI;0,00340141
1818;ARARAQUARA;0,300002967
1820;ARARAS;0,263577345
7754;ARCO-IRIS;0,000733862
1831;AREALVA;0,010688383
1843;AREIAS;0,005053477
1855;AREIOPOLIS;0,009971336
1867;ARIRANHA;0,018765207
1879;ARTUR NOGUEIRA;0,072020959
1880;ARUJA;0,210002967
7365;ASPASIA;0,002275022
1892;ASSIS;0,256313097
1909;ATIBAIA;0,361095403
1910;AURIFLAMA;0,024235746
1922;AVAI;0,006151143
1934;AVANHANDAVA;0,012228052
1946;AVARE;0,209879261
1958;BADY BASSITT;0,025631222
1960;BALBINOS;0,0030384
1971;BALSAMO;0,0120079
1983;BANANAL;0,011986095
1995;BARÃO DE ANTONINA;0,003760315
2008;BARBOSA;0,0081226
2010;BARIRI;0,062073296
2021;BARRA BONITA;0,092116336
7377;BARRA DO CHAPEU;0,004656023
2033;BARRA DO TURVO;0,006812371
2045;BARRETOS;0,217273874
2057;BARRINHA;0,026261166
2069;BARUERI;1,030002967
2070;BASTOS;0,042262874
2082;BATATAIS;0,00561201
2094;BAURU;0,830002967
2100;BEBEDOURO;0,044538417
2112;BENTO DE ABREU;0,004650818
2124;BERNADINO DE CAMPOS;0,021247734
7389;BERTIOGA;0,161194653
2136;BILAC;0,014511613
2148;BIRIGUI;0,237772019
2150;BIRITIBA-MIRIM;0,046908935
2161;BOA ESPERANCA DO SUL;0,019306638
2173;BOCAINA;0,021561656
2185;BOFETE;0,007740861
2197;BOITUVA;0,126891839
2203;BOM JESUS DOS PERDÕES;0,035174976
7390;BOM SUCESSO DE ITARARE;0,004170943
2215;BORA;0,002591247
2227;BORACEIA;0,006372908
2239;BORBOREMA;0,030046997
7213;BOREBI;0,00397989
2240;BOTUCATU;0,309619357
2252;BRAGANCA PAULISTA;0,341148186
2264;BRAUNA;0,007556438
7766;BREJO ALEGRE;0,004042513
2276;BRODOWSKI;0,001591398
2288;BROTAS;0,046846158
2290;BURI;0,026331148
2306;BURITAMA;0,031046619
2318;BURITIZAL;0,000228297
2320;CABRALIA PAULISTA;0,006589875
2331;CABREUVA;0,077706744
2343;CACAPAVA;0,132304053
2355;CACHOEIRA PAULISTA;0,05631525
2367;CACONDE;0,01459555
2379;CAFELANDIA;0,033136679
2380;CAIABU;0,004468001
2392;CAIEIRAS;0,213159411
2409;CAIUA;0,003329738
2410;CAJAMAR;0,078585466
7407;CAJATI;0,043537883
2422;CAJOBI;0,008813529
2434;CAJURU;0,001734567
7419;CAMPINA DO MONTE ALEGRE;0,007244564
2446;CAMPINAS;2,890002967
2458;CAMPO LIMPO PAULISTA;0,075675737
2460;CAMPOS DO JORDÃO;0,136860036
2471;CAMPOS NOVOS PAULISTA;0,00650322
2483;CANANEIA;0,018124236
7778;CANAS;0,005317667
2495;CANDIDO MOTA;0,060363058
2501;CANDIDO ROGRIGUES;0,00627226
7420;CANITAR;0,00517937
2513;CAPÃO BONITO;0,043669975
2525;CAPELA DO ALTO;0,022396691
2537;CAPIVARI;0,087604307
2549;CARAGUATATUBA;0,137991397
2550;CARAPICUIBA;0,179765663
2562;CARDOSO;0,00553315
2574;CASA BRANCA;0,044371017
2586;CASSIA DOS COQUEIROS;0,001514549
2598;CASTILHO;0,019612163
2604;CATANDUVA;0,296598352
2616;CATIGUA;0,005736938
2628;CEDRAL;0,014187276
2630;CERQUEIRA CESAR;0,03837181
2653;CERQUILHO;0,096610468
