Codigo;Municipio;Indice
1508;ADAMANTINA;0,099846656
1510;ADOLFO;0,003071783
1521;AGUAI;0,042443085
1545;AGUAS DA PRATA;0,013052963
1533;AGUAS DE LINDOIA;0,044963326
6075;AGUAS DE SANTA BARBARA;0,014189886
1557;AGUAS DE SÃO PEDRO;0,017132653
1569;AGUDOS;0,067276601
7328;ALAMBARI;0,007006967
1570;ALFREDO MARCONDES;0,006923326
1582;ALTAIR;0,004571224
1594;ALTINOPOLIS;0,001654749
1600;ALTO ALEGRE;0,005549762
7330;ALUMINIO;0,038668623
1612;ALVARES FLORENCE;0,00633313
1624;ALVARES MACHADO;0,041539622
1636;ALVARO DE CARVALHO;0,005112352
1648;ALVINLANDIA;0,004682238
1650;AMERICANA;0,377126598
1661;AMERICO BRASILIENSE;0,070844935
1673;AMERICO DE CAMPOS;0,007851571
1685;AMPARO;0,191108728
1697;ANALANDIA;0,009439177
1703;ANDRADINA;0,129144101
1715;ANGATUBA;0,037401057
1727;ANHEMBI;0,00710371
1739;ANHUMAS;0,005269804
1740;APARECIDA;0,068293387
1752;APARECIDA D'OESTE;0,006845817
1764;APIAI;0,019757657
7341;ARACARIGUAMA;0,051826905
1776;ARACATUBA;0,427575294
1788;ARACOIABA DA SERRA;0,064599557
1790;ARAMINA;0,000279396
1806;ARANDU;0,008081169
7353;ARAPEI;0,003483077
1818;ARARAQUARA;0,289125531
1820;ARARAS;0,269887531
7754;ARCO-IRIS;0,000751594
1831;AREALVA;0,0109447
1843;AREIAS;0,00517474
1855;AREIOPOLIS;0,010210467
1867;ARIRANHA;0,019215105
1879;ARTUR NOGUEIRA;0,071787368
1880;ARUJA;0,197926781
7365;ASPASIA;0,002329692
1892;ASSIS;0,262441177
1909;ATIBAIA;0,369722298
1910;AURIFLAMA;0,024816759
1922;AVAI;0,006298715
1934;AVANHANDAVA;0,012521271
1946;AVARE;0,214909685
1958;BADY BASSITT;0,026245682
1960;BALBINOS;0,003111366
1971;BALSAMO;0,012295843
1983;BANANAL;0,012273515
1995;BARÃO DE ANTONINA;0,003850584
2008;BARBOSA;0,008317422
2010;BARIRI;0,063561181
2021;BARRA BONITA;0,094324277
7377;BARRA DO CHAPEU;0,00476776
2033;BARRA DO TURVO;0,00697579
2045;BARRETOS;0,222476919
2057;BARRINHA;0,026890724
2069;BARUERI;1,023322653
2070;BASTOS;0,043275953
2082;BATATAIS;0,005733724
2094;BAURU;0,821963178
2100;BEBEDOURO;0,045599621
2112;BENTO DE ABREU;0,004762431
2124;BERNADINO DE CAMPOS;0,021757133
7389;BERTIOGA;0,165058228
2136;BILAC;0,014859564
2148;BIRIGUI;0,243470962
2150;BIRITIBA-MIRIM;0,048033368
2161;BOA ESPERANCA DO SUL;0,019769514
2173;BOCAINA;0,022078578
2185;BOFETE;0,007926534
2197;BOITUVA;0,129802121
2203;BOM JESUS DOS PERDÕES;0,036018176
7390;BOM SUCESSO DE ITARARE;0,004271054
2215;BORA;0,002653496
2227;BORACEIA;0,006525794
2239;BORBOREMA;0,030767292
7213;BOREBI;0,004075422
2240;BOTUCATU;0,316999915
2252;BRAGANCA PAULISTA;0,349324796
2264;BRAUNA;0,00773769
7766;BREJO ALEGRE;0,004139546
2276;BRODOWSKI;0,001629684
2288;BROTAS;0,047969086
2290;BURI;0,026962384
2306;BURITAMA;0,031790872
2318;BURITIZAL;0,000233912
2320;CABRALIA PAULISTA;0,006747962
2331;CABREUVA;0,079569324
2343;CACAPAVA;0,135475193
2355;CACHOEIRA PAULISTA;0,057665129
2367;CACONDE;0,014945513
2379;CAFELANDIA;0,033931026
2380;CAIABU;0,004575231
2392;CAIEIRAS;0,217814571
2409;CAIUA;0,003409687
2410;CAJAMAR;0,08045661
7407;CAJATI;0,044581521
2422;CAJOBI;0,009024911
2434;CAJURU;0,001776284
7419;CAMPINA DO MONTE ALEGRE;0,007418342
2446;CAMPINAS;2,766966803
2458;CAMPO LIMPO PAULISTA;0,077484384
2460;CAMPOS DO JORDÃO;0,140140372
2471;CAMPOS NOVOS PAULISTA;0,00665923
2483;CANANEIA;0,018558772
7778;CANAS;0,005445262
2495;CANDIDO MOTA;0,061809953
2501;CANDIDO ROGRIGUES;0,006422734
7420;CANITAR;0,00530365
2513;CAPÃO BONITO;0,044716778
2525;CAPELA DO ALTO;0,022933628
2537;CAPIVARI;0,089704106
2549;CARAGUATATUBA;0,141296604
2550;CARAPICUIBA;0,183664995
2562;CARDOSO;0,005665909
2574;CASA BRANCA;0,045434622
2586;CASSIA DOS COQUEIROS;0,001550993
2598;CASTILHO;0,020082361
2604;CATANDUVA;0,303700008
2616;CATIGUA;0,005874582
2628;CEDRAL;0,014527453
2630;CERQUEIRA CESAR;0,03929163
2653;CERQUILHO;0,096247194
2641;CESÁRIO LANGE;0,031739912
2665;CHARQUEADA;0,02750175
7195;CHAVANTES;0,021801236
2677;CLEMENTINA;0,011028092
2689;COLINA;0,025890722
2690;COLOMBIA;0,000995758
2707;CONCHAL;0,035919809
2719;CONCHAS;0,021991511
2720;CORDEIROPOLIS;0,07232986
2732;COROADOS;0,007730354
2744;CORONEL MACEDO;0,005877189
2756;CORUMBATAI;0,007644816
2768;COSMOPOLIS;0,103311921
2770;COSMORAMA;0,012111256
2781;COTIA;0,616733366
2793;CRAVINHOS;0,061883944
2800;CRISTAIS PAULISTAS;0,003697143
2811;CRUZALIA;0,005038658
2823;CRUZEIRO;0,129182377
2835;CUBATÃO;0,217401051
2847;CUNHA;0,024954219
2859;DESCALVADO;0,075601296
2860;DIADEMA;0,693930559
7225;DIRCE REIS;0,002692855
2872;DIVINOLANDIA;0,002719053
2884;DOBRADA;0,005641372
2896;DOIS CORREGOS;0,041893148
2902;DOLCINOPOLIS;0,004032975
2914;DOURADO;0,014168632
2926;DRACENA;0,120266763
2938;DUARTINA;0,026053537
2940;DUMONT;0,012057868
2951;ECHAPORÃ;0,010328511
2963;ELDORADO;0,014811065
2975;ELIAS FAUSTO;0,009651151
7432;ELISIÁRIO;0,004817323
7237;EMBAUBA;0,004072744
2987;EMBU DAS ARTES;0,329880506
2999;EMBU-GUACU;0,129869605
7444;EMILIANOPOLIS;0,004198357
7456;ENGENHEIRO COELHO;0,01528966
5307;ESPIRITO SANTO DO PINHAL;0,086760939
7249;ESPIRITO SANTO DO TURVO;0,00589366
7468;ESTIVA GERBI;0,014380605
3001;ESTRELA DO NORTE;0,003513274
3013;ESTRELA D'OESTE;0,020204255
7250;EUCLIDES DA CUNHA PAULISTA;0,009955108
3025;FARTURA;0,030354094
3037;FERNANDO PRESTES;0,009805357
3049;FERNANDOPOLIS;0,170418723
7869;FERNÃO;0,00132309
3050;FERRAZ DE VASCONCELOS;0,242894522
3062;FLORA RICA;0,002316383
3074;FLOREAL;0,00439015
3086;FLORIDA PAULISTA;0,019874257
3098;FLORINEA;0,004179722
3104;FRANCA;0,063285504
3116;FRANCISCO MORATO;0,207715621
3128;FRANCO DA ROCHA;0,241655426
3130;GABRIEL MONTEIRO;0,004747288
3141;GALIA;0,010103658
3153;GARCA;0,099107339
3165;GASTÃO VIDIGAL;0,006818126
7870;GAVIÃO PEIXOTO;0,005144664
3177;GENERAL SALGADO;0,022084495
3189;GETULINA;0,016702317
3190;GLICERIO;0,005263836
3207;GUAICARA;0,01869363
3219;GUAIMBE;0,008692864
3220;GUAIRA;0,003304724
3232;GUAPIACU;0,019042124
3244;GUAPIARA;0,018197552
3256;GUARA;0,00127991
3268;GUARACAI;0,011748851
3270;GUARACI;0,010205346
3281;GUARANI D'OESTE;0,003038191
3293;GUARANTÃ;0,010088443
3300;GUARARAPES;0,0181833
3311;GUARAREMA;0,070142701
3323;GUARATINGUETA;0,212525672
3335;GUAREI;0,015545849
3347;GUARIBA;0,06529564
3359;GUARUJA;0,212116802
3360;GUARULHOS;1,957988972
7262;GUATAPARA;0,012519911
3372;GUZOLANDIA;0,004141748
3384;HERCOLANDIA;0,009268794
7470;HOLAMBRA;0,036078031
7481;HORTOLANDIA;0,290338961
3396;IACANGA;0,024074501
3402;IACRI;0,009622172
7274;IARAS;0,006561348
3414;IBATE;0,044780679
3426;IBIRA;0,011354516
3438;IBIRAREMA;0,00975446
3440;IBITINGA;0,1288762
3451;IBIUNA;0,135267028
3463;ICEM;0,011483174
3475;IEPE;0,013569782
3487;IGARACU DO TIETE;0,040980034
3499;IGARAPAVA;0,041140224
3505;IGARATA;0,01365496
3517;IGUAPE;0,047807975
7675;ILHA COMPRIDA;0,024427713
7493;ILHA SOLTEIRA;0,068125576
3529;ILHABELA;0,066524501
3530;INDAIATUBA;0,432789943
3542;INDIANA;0,007932732
3554;INDIAPORÃ;0,008333544
3566;INUBIA PAULISTA;0,00581948
3578;IPAUSSU;0,019966362
3580;IPERO;0,041608838
3591;IPEUNA;0,016094668
7845;IPIGUA;0,002372804
3608;IPORANGA;0,005258709
3610;IPUÃ;0,000389967
3621;IRACEMAPOLIS;0,049441135
3633;IRAPUÃ;0,009515138
3645;IRAPURU;0,009566862
3657;ITABERA;0,02449085
3669;ITAI;0,039511446
3670;ITAJOBI;0,033108884
3682;ITAJU;0,004886389
3694;ITANHAEM;0,224042791
7500;ITAOCA;0,002934633
3700;ITAPECERICA DA SERRA;0,245275739
3712;ITAPETININGA;0,261831354
3724;ITAPEVA;0,09268246
3736;ITAPEVI;0,356373507
3748;ITAPIRA;0,159530385
7687;ITAPIRAPUÃ PAULISTA;0,002903385
3750;ITAPOLIS;0,101447781
3761;ITAPORANGA;0,021558281
3773;ITAPUI;0,024515481
3785;ITAPURA;0,007239814
3797;ITAQUAQUECETUBA;0,448401557
3803;ITARARE;0,029013276
3815;ITARIRI;0,015326946
3827;ITATIBA;0,331599958
3839;ITATINGA;0,017899301
3840;ITIRAPINA;0,028519148
3852;ITIRAPUA;0,002854155
3864;ITOBI;0,005306678
3876;ITU;0,377768796
3888;ITUPEVA;0,145040368
3890;ITUVERAVA;0,004061673
3906;JABORANDI;0,005899713
3918;JABOTICABAL;0,206735523
3920;JACAREI;0,332341611
3931;JACI;0,009354408
3943;JACUPIRANGA;0,025843741
3955;JAGUARIUNA;0,132303419
3967;JALES;0,116956201
3979;JAMBEIRO;0,013303725
3980;JANDIRA;0,221893523
3992;JARDINOPOLIS;0,003167858
4005;JARINU;0,060553354
4017;JAU;0,272323158
4029;JERIQUARA;0,002143674
4030;JOANOPOLIS;0,022676232
4042;JOÃO RAMALHO;0,005404793
4054;JOSE BONIFACIO;0,062781381
4066;JULIO MESQUISTA;0,006798749
7882;JUMIRIM;0,0065199
4078;JUNDIAI;1,063187822
4080;JUNQUEIROPOLIS;0,037760972
4091;JUQUIA;0,02538376
4108;JUQUITIBA;0,054043084
4110;LAGOINHA;0,007953797
4121;LARANJAL PAULISTA;0,057695818
4133;LAVINIA;0,000915282
4145;LAVRINHAS;0,00462242
4157;LEME;0,182851465
4169;LENCOIS PAULISTA;0,149963445
4170;LIMEIRA;0,412819037
4182;LINDOIA;0,017529445
4194;LINS;0,189436801
4200;LORENA;0,122255595
7699;LOURDES;0,003353754
4212;LOUVEIRA;0,094938384
4224;LUCELIA;0,043515879
4236;LUCIANOPOLIS;0,003653807
4248;LUIZ ANTONIO;0,014493229
4250;LUIZIANIA;0,006977154
4261;LUPERCIO;0,006162487
4273;LUTECIA;0,004743081
4285;MACATUBA;0,030346511
4297;MACAUBAL;0,011490441
4303;MACEDONIA;0,006653049
4315;MAGDA;0,004574656
4327;MAIRINQUE;0,114832446
4339;MAIRIPORÃ;0,20613002
4340;MANDURI;0,017173497
4352;MARABA PAULISTA;0,003961819
4364;MARACAI;0,024866524
7511;MARAPOAMA;0,005899531
4376;MARIAPOLIS;0,005066979
4388;MARILIA;0,474726813
4390;MARINOPOLIS;0,003403774
4406;MARTINOPOLIS;0,041629453
4418;MATÃO;0,074198801
4420;MAUA;0,555328534
4431;MENDONCA;0,004476165
4443;MERIDIANO;0,005886034
7705;MESOPOLIS;0,002910553
4455;MIGUELOPOLIS;0,000568988
4467;MINEIROS DO TIETE;0,020906224
4479;MIRA ESTRELA;0,005322702
4480;MIRACATU;0,02425392
4492;MIRANDOPOLIS;0,037579567
4509;MIRANTE DO PARANAPANEMA;0,027348897
4510;MIRASSOL;0,110493547
4522;MIRASSOLANDIA;0,002012239
4534;MOCOCA;0,02449705
4546;MOGI DAS CRUZES;0,513650371
4558;MOGI GUACU;0,249889688
4560;MOGI MIRIM;0,135911911
4571;MOMBUCA;0,004158856
4583;MONÇÕES;0,004034357
4595;MONGAGUA;0,113217834
4601;MONTE ALEGRE DO SUL;0,007906068
4613;MONTE ALTO;0,11863956
4625;MONTE APRAZIVEL;0,04263299
4637;MONTE AZUL PAULISTA;0,034016172
4649;MONTE CASTELO;0,004979465
4650;MONTE MOR;0,062791056
4662;MONTEIRO LOBATO;0,005793605
4674;MORRO AGUDO;0,001249919
4686;MORUNGABA;0,03275471
7298;MOTUCA;0,007475499
4698;MURUTINGA DO SUL;0,005852795
7894;NANTES;0,004192748
4704;NARANDIBA;0,005298784
